NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
Hydro_fac AF-AGO,80,80,80,66.5,29.6,28.4,28.4,28.5,29.1,34.1,61.1,79.8
Hydro_fac AF-BDI,48.9,50.9,61.3,61.3,61.3,14.1,6.1,8.1,21.4,52.9,61.3,60.5
Hydro_fac AF-BEN,7.4,7.5,8.8,14.7,37.1,73.8,73.8,73.8,73.8,44.7,10.3,7.5
Hydro_fac AF-BFA,7.3,7.8,9.2,15.1,35.9,72.8,72.8,72.8,72.8,34.8,8,7.5
Hydro_fac AF-BWA,39.3,39.3,39.3,24.5,8.4,5.7,4.3,8.9,13.8,24.4,37.4,35.6
Hydro_fac AF-CAF,60,60,60.6,64,72,80,80,80,80,78.7,61.1,60
Hydro_fac AF-CIV,5.8,7.2,15.3,26.9,38.7,57.9,58.3,48,58.3,56.5,16.3,7.8
Hydro_fac AF-CMR,43.8,44,45.3,49.4,62.1,71.6,80,80,80,75.5,47.8,44.1
Hydro_fac AF-COD,57.4,58,66.1,44.5,20.5,8,6.6,7,9.5,19.6,49.7,65.9
Hydro_fac AF-COG,57,57.8,80,80,31.5,16.7,16.5,16.6,17.3,26.6,80,80
Hydro_fac AF-DJI,8.9,13.3,21.8,30.6,43.5,76.8,79.4,79.4,79.4,40.1,11.5,8.3
Hydro_fac AF-DZA,19.5,19.5,19.5,13.6,9.5,3.8,2,2.2,3.6,3.4,12.9,19.5
Hydro_fac AF-EGY,28.8,28.8,33.2,46,59.6,80,80,80,80,66.8,38.7,31.3
Hydro_fac AF-ERI,8.9,13.3,21.8,30.6,43.5,76.8,79.4,79.4,79.4,40.1,11.5,8.3
Hydro_fac AF-ETH,8.9,13.3,21.8,30.6,43.5,76.8,79.4,79.4,79.4,40.1,11.5,8.3
Hydro_fac AF-GAB,51,53.8,80,80,77.7,25.3,10.5,12.5,47.7,80,80,66.3
Hydro_fac AF-GHA,38.3,38.8,42.2,48.3,61.7,80,80,73.2,80,72.4,44.4,39.7
Hydro_fac AF-GIN,13.6,13.6,13.7,14.7,29,73,80,80,80,80,20.1,13.9
Hydro_fac AF-GMB,11.3,11.4,11.6,12.7,25.1,76.8,80,80,80,80,16.8,11.4
Hydro_fac AF-GNB,11.3,11.4,11.6,12.7,25.1,76.8,80,80,80,80,16.8,11.4
Hydro_fac AF-GNQ,17.8,18.8,28.4,28.4,27.6,8.3,2.8,3.6,16.6,28.4,28.4,23.4
Hydro_fac AF-KEN,33.4,30.2,48.3,76.7,76.7,33.3,28.2,25.7,21.8,72.4,73.3,55.2
Hydro_fac AF-LBR,39,40,41.5,51.6,55.7,80,80,80,80,76.2,52.4,40.9
Hydro_fac AF-LBY,8.9,13.3,21.8,30.6,43.5,76.8,79.4,79.4,79.4,40.1,11.5,8.3
Hydro_fac AF-LSO,80,80,80,67,61.5,60.1,60,62.1,63.7,65.7,80,72.6
